ecosystem,taxon_id,rep,sample_id,tube_shift,timepoint,Phylum,Class,Order,Family,Genus,Species,treatment,wvd,abund_16s,abund_16s_t0,growth,mortality,growth_corrected,mortality_corrected
GL,014f4bdeb000cbd4672469b5494b50e2,2,W1_GL_23,0,7,Actinobacteria,Thermoleophilia,Gaiellales,unknown Gaiellales,unknown Gaiellales,unknown Gaiellales,C,4.99217973829377e-05,640.926240349138,1717.76460577927,-0.00827300865879413,-0.132564805068145,0.0018228982006964,-0.142660711927635
GL,014f4bdeb000cbd4672469b5494b50e2,2,W1_GL_29,0,7,Actinobacteria,Thermoleophilia,Gaiellales,unknown Gaiellales,unknown Gaiellales,unknown Gaiellales,C_N,4.5854063272871e-05,523.789898020103,1717.76460577927,-0.000965124586626837,-0.168704651240672,0.0155427746766791,-0.185212550503978
GL,014f4bdeb000cbd4672469b5494b50e2,3,W1_GL_21,0,7,Actinobacteria,Thermoleophilia,Gaiellales,unknown Gaiellales,unknown Gaiellales,unknown Gaiellales,control,1.80060545384748e-05,781.113191911417,2217.25799314934,0.0117810456210775,-0.160824831602578,0.0122353915701178,-0.161279177551618
GL,014f4bdeb000cbd4672469b5494b50e2,3,W1_GL_24,0,7,Actinobacteria,Thermoleophilia,Gaiellales,unknown Gaiellales,unknown Gaiellales,unknown Gaiellales,C,6.69543740273947e-05,315.367568706319,2217.25799314934,0.00295442264262588,-0.281566955486442,0.0202811574411968,-0.298893690285012
GL,014f4bdeb000cbd4672469b5494b50e2,3,W1_GL_30,0,7,Actinobacteria,Thermoleophilia,Gaiellales,unknown Gaiellales,unknown Gaiellales,unknown Gaiellales,C_N,3.8256265854447e-05,427.975601426321,2217.25799314934,-0.000294275562511397,-0.234700065193174,0.00942736293010546,-0.24442170368579
GL,01d2c2e99f8512e64a0e8e46219e24ec,2,W1_GL_20,0,7,Actinobacteria,MB-A2-108,unknown MB-A2-108,unknown MB-A2-108,unknown MB-A2-108,unknown MB-A2-108,control,2.42153936087387e-05,86.9108523915815,174.957506144185,0.0129442307574336,-0.112895689936381,0.0134027859972645,-0.113354245176212
GL,01d2c2e99f8512e64a0e8e46219e24ec,2,W1_GL_23,0,7,Actinobacteria,MB-A2-108,unknown MB-A2-108,unknown MB-A2-108,unknown MB-A2-108,unknown MB-A2-108,C,0.000139621777913644,25.2545347746813,174.957506144185,-0.00338094156262107,-0.273124399547557,0.00706624424412948,-0.283571585354308
GL,01d3edddc03327b7b8faa7a591a9ea47,1,W1_GL_19,0,7,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,unknown Solirubrobacteraceae,unknown Solirubrobacteraceae,control,4.14907050182767e-05,1446.8253505896,1814.19733946641,-0.00142751385575214,-0.0308969704179751,0.0124749794089021,-0.0447994636826293
GL,01d3edddc03327b7b8faa7a591a9ea47,1,W1_GL_22,0,7,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,unknown Solirubrobacteraceae,unknown Solirubrobacteraceae,C,5.65142511868364e-05,1119.88905021423,1814.19733946641,0.012023058371658,-0.0809392747432618,0.012053326982473,-0.0809695433540768
GL,01d3edddc03327b7b8faa7a591a9ea47,1,W1_GL_28,0,7,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,unknown Solirubrobacteraceae,unknown Solirubrobacteraceae,C_N,6.45717890839447e-05,791.67230239501,1814.19733946641,-0.00671699430715804,-0.111747414990643,0.0134606502665245,-0.131925059564325
GL,01d3edddc03327b7b8faa7a591a9ea47,2,W1_GL_20,0,7,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,unknown Solirubrobacteraceae,unknown Solirubrobacteraceae,control,4.42000255586687e-05,1721.4724633552,2147.20575722408,0.0139852080419409,-0.0455548282020978,0.0144473462912761,-0.0460169664514331
GL,01d3edddc03327b7b8faa7a591a9ea47,2,W1_GL_23,0,7,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,unknown Solirubrobacteraceae,unknown Solirubrobacteraceae,C,6.35333022176427e-05,770.924523620563,2147.20575722408,-0.000825329809033515,-0.145507834963776,0.00982297965125061,-0.15615614442406
GL,01d3edddc03327b7b8faa7a591a9ea47,2,W1_GL_29,0,7,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,unknown Solirubrobacteraceae,unknown Solirubrobacteraceae,C_N,5.77536033029101e-05,534.935018367296,2147.20575722408,0.0013778027362749,-0.199917424096415,0.0181615949873029,-0.216701216347444
GL,01d3edddc03327b7b8faa7a591a9ea47,3,W1_GL_21,0,7,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,unknown Solirubrobacteraceae,unknown Solirubrobacteraceae,control,4.88600077384206e-05,1638.56065708466,3054.38601097103,0.0111334254026462,-0.100099194782752,0.0115853631486226,-0.100551132528728
GL,01d3edddc03327b7b8faa7a591a9ea47,3,W1_GL_24,0,7,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,unknown Solirubrobacteraceae,unknown Solirubrobacteraceae,C,8.62389853425741e-05,1305.90094225531,3054.38601097103,-1.8207539919254e-05,-0.121365423065519,0.0169157747531392,-0.138299405358577
GL,01d3edddc03327b7b8faa7a591a9ea47,3,W1_GL_30,0,7,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,unknown Solirubrobacteraceae,unknown Solirubrobacteraceae,C_N,6.11198717407264e-05,1537.75638228884,3054.38601097103,0.00500412484615731,-0.103040429776743,0.0150983056462029,-0.113134610576789
GL,03013a60df46631f4b7b797129a03fa7,1,W1_GL_19,0,7,Actinobacteria,Rubrobacteria,Rubrobacterales,Rubrobacteriaceae,Rubrobacter,unknown Rubrobacter,control,2.89467930427899e-05,426.341157533926,431.951747492002,-0.00794637012960983,0.00607865279602239,0.00529166399796973,-0.00715938133155717
GL,03013a60df46631f4b7b797129a03fa7,1,W1_GL_22,0,7,Actinobacteria,Rubrobacteria,Rubrobacterales,Rubrobacteriaceae,Rubrobacter,unknown Rubrobacter,C,3.45584036225883e-05,185.404792365287,431.951747492002,0.00454438174186195,-0.125369008141817,0.00457307613189407,-0.12539770253185
GL,03013a60df46631f4b7b797129a03fa7,2,W1_GL_20,0,7,Actinobacteria,Rubrobacteria,Rubrobacterales,Rubrobacteriaceae,Rubrobacter,unknown Rubrobacter,control,2.15460282609216e-05,151.37638286882,636.20911325158,0.0136349514519248,-0.218743232381044,0.0140954700663465,-0.219203750995466
GL,03013a60df46631f4b7b797129a03fa7,2,W1_GL_29,0,7,Actinobacteria,Rubrobacteria,Rubrobacterales,Rubrobacteriaceae,Rubrobacter,unknown Rubrobacter,C_N,1.33298048938882e-05,52.428227729424,636.20911325158,-0.00235916065567163,-0.354224005103129,0.0139473306339901,-0.370530496392791
GL,03109dba3a1a5ed8cc17ed4250d3e3fe,2,W1_GL_20,0,7,Acidobacteria,Subgroup 6,unknown Subgroup 6,unknown Subgroup 6,unknown Subgroup 6,unknown Subgroup 6,control,6.75869960053817e-06,615.998664120699,1336.03913782832,0.0125136675112389,-0.123116503733131,0.0129720715761745,-0.123574907798067
GL,03109dba3a1a5ed8cc17ed4250d3e3fe,2,W1_GL_29,0,7,Acidobacteria,Subgroup 6,unknown Subgroup 6,unknown Subgroup 6,unknown Subgroup 6,unknown Subgroup 6,C_N,1.61131858669787e-05,92.7953178207067,1336.03913782832,-0.0150666651408578,-0.365943115494592,-0.00017183831837364,-0.380837942317076
GL,0333f5422ed4a379f5b599f846f954d1,3,W1_GL_21,0,7,Chloroflexi,Chloroflexia,Chloroflexales,Herpetosiphonaceae,Herpetosiphon,unknown Herpetosiphon,control,3.138469943528e-05,263.475103745274,248.875897190233,0.0161499045365667,-0.00800640264852837,0.0166191896898043,-0.00847568780176601
GL,0333f5422ed4a379f5b599f846f954d1,3,W1_GL_24,0,7,Chloroflexi,Chloroflexia,Chloroflexales,Herpetosiphonaceae,Herpetosiphon,unknown Herpetosiphon,C,3.78054184270014e-05,67.0644530588725,248.875897190233,-0.00243351200188346,-0.184895091487957,0.0142433647959754,-0.201571968285816
GL,0333f5422ed4a379f5b599f846f954d1,3,W1_GL_30,0,7,Chloroflexi,Chloroflexia,Chloroflexales,Herpetosiphonaceae,Herpetosiphon,unknown Herpetosiphon,C_N,1.81402160527825e-05,139.201052960238,248.875897190233,-0.00351803671995325,-0.0794869711543297,0.00599618238651904,-0.089001190260802
GL,03d71e78c581093e24650c952f005611,2,W1_GL_20,0,7,Armatimonadetes,unknown Armatimonadetes,unknown Armatimonadetes,unknown Armatimonadetes,unknown Armatimonadetes,unknown Armatimonadetes,control,2.76005017927034e-05,93.7003314083706,413.535923613527,0.00803682772534165,-0.220128636508236,0.00848064355482107,-0.220572452337715
GL,040fd8465e8db9e180ae765ff7620b0e,1,W1_GL_19,0,7,Actinobacteria,MB-A2-108,unknown MB-A2-108,unknown MB-A2-108,unknown MB-A2-108,unknown MB-A2-108,control,2.30523383400285e-05,707.764817572851,1252.66006772681,-0.000959231971092961,-0.0805997342341891,0.0130001428904733,-0.0945591090957553
GL,040fd8465e8db9e180ae765ff7620b0e,1,W1_GL_22,0,7,Actinobacteria,MB-A2-108,unknown MB-A2-108,unknown MB-A2-108,unknown MB-A2-108,unknown MB-A2-108,C,2.58962139569424e-05,471.538121523964,1252.66006772681,0.0131894765234459,-0.152764429806886,0.0132200119148883,-0.152794965198329
GL,040fd8465e8db9e180ae765ff7620b0e,1,W1_GL_28,0,7,Actinobacteria,MB-A2-108,unknown MB-A2-108,unknown MB-A2-108,unknown MB-A2-108,unknown MB-A2-108,C_N,2.76190232792892e-05,317.878499972556,1252.66006772681,-0.0102772128274484,-0.185630699910414,0.00938083285210206,-0.205288745589965
GL,040fd8465e8db9e180ae765ff7620b0e,2,W1_GL_20,0,7,Actinobacteria,MB-A2-108,unknown MB-A2-108,unknown MB-A2-108,unknown MB-A2-108,unknown MB-A2-108,control,2.07680864112916e-05,888.306047309803,1781.38551710443,0.0156262350258079,-0.115030576370784,0.0160940066895517,-0.115498348034528
GL,040fd8465e8db9e180ae765ff7620b0e,2,W1_GL_23,0,7,Actinobacteria,MB-A2-108,unknown MB-A2-108,unknown MB-A2-108,unknown MB-A2-108,unknown MB-A2-108,C,3.98442569015429e-05,433.421424293771,1781.38551710443,-0.00335416592578845,-0.198565291209588,0.00710691026122928,-0.209026367396606
GL,040fd8465e8db9e180ae765ff7620b0e,2,W1_GL_29,0,7,Actinobacteria,MB-A2-108,unknown MB-A2-108,unknown MB-A2-108,unknown MB-A2-108,unknown MB-A2-108,C_N,2.90116838194346e-05,366.083549756983,1781.38551710443,4.14679578012669e-05,-0.226082201604447,0.0166702784116709,-0.242711012058316
GL,040fd8465e8db9e180ae765ff7620b0e,3,W1_GL_21,0,7,Actinobacteria,MB-A2-108,unknown MB-A2-108,unknown MB-A2-108,unknown MB-A2-108,unknown MB-A2-108,control,1.79028050171924e-05,505.763033542553,1221.75440438841,0.0127066473054351,-0.138703060832509,0.0131638765069585,-0.139160290034033
GL,040fd8465e8db9e180ae765ff7620b0e,3,W1_GL_24,0,7,Actinobacteria,MB-A2-108,unknown MB-A2-108,unknown MB-A2-108,unknown MB-A2-108,unknown MB-A2-108,C,4.30125532875394e-05,343.229455493777,1221.75440438841,0.00129356279188148,-0.182671270101215,0.0184045592912492,-0.199782266600583
GL,040fd8465e8db9e180ae765ff7620b0e,3,W1_GL_30,0,7,Actinobacteria,MB-A2-108,unknown MB-A2-108,unknown MB-A2-108,unknown MB-A2-108,unknown MB-A2-108,C_N,2.53622056954157e-05,454.106872754369,1221.75440438841,-2.91497475357721e-05,-0.141358074287598,0.00970953055301998,-0.151096754588154
GL,0416812cdbbb42604f32291d45924ecb,1,W1_GL_19,0,7,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,unknown Nocardioidaceae,unknown Nocardioidaceae,control,6.78560922576118e-05,240.639958650549,1403.84317934901,0.00472782024342631,-0.256680250785808,0.019292663650399,-0.271245094192781
GL,0416812cdbbb42604f32291d45924ecb,1,W1_GL_28,0,7,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,unknown Nocardioidaceae,unknown Nocardioidaceae,C_N,1.08111539893307e-05,413.980806539016,1403.84317934901,-0.000847268772120238,-0.173602627084056,0.0202690236284656,-0.194718919484642
GL,0416812cdbbb42604f32291d45924ecb,2,W1_GL_20,0,7,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,unknown Nocardioidaceae,unknown Nocardioidaceae,control,9.95414185266625e-06,241.792184589181,922.503214214788,0.0114719899625138,-0.20275945343283,0.0119265911685552,-0.203214054638872
GL,0419ea4b23bc9df40a4d7c517188d1b3,1,W1_GL_19,0,7,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Microvirga,unknown Microvirga,control,1.97800609517555e-05,424.31658844961,950.293844482404,0.00189506892292562,-0.117079554532344,0.0161877984982413,-0.13137228410766
GL,0419ea4b23bc9df40a4d7c517188d1b3,1,W1_GL_22,0,7,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Microvirga,unknown Microvirga,C,2.40431122971984e-05,318.819701012328,950.293844482404,0.0140958254189348,-0.170116611753096,0.0141266312447901,-0.170147417578951
GL,0419ea4b23bc9df40a4d7c517188d1b3,1,W1_GL_28,0,7,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Microvirga,unknown Microvirga,C_N,3.47572001509965e-05,103.605674250075,950.293844482404,-0.0101226411489203,-0.30647437994686,0.00961045845262294,-0.326207479548403
GL,0419ea4b23bc9df40a4d7c517188d1b3,2,W1_GL_29,0,7,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Microvirga,unknown Microvirga,C_N,3.65921879038023e-05,62.1879223202914,620.303885420291,0.027613572915831,-0.356191957167217,0.0481013303973333,-0.376679714648719
GL,0419ea4b23bc9df40a4d7c517188d1b3,3,W1_GL_21,0,7,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Microvirga,unknown Microvirga,control,2.52218659269323e-05,612.543191745256,1176.50424126291,0.0112422357997017,-0.104482715239201,0.0116959164580726,-0.104936395897572
GL,0419ea4b23bc9df40a4d7c517188d1b3,3,W1_GL_24,0,7,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Microvirga,unknown Microvirga,C,3.46740211712334e-05,319.898933993074,1176.50424126291,0.00682402261022006,-0.192866550968412,0.0247013640889095,-0.210743892447101
GL,0419ea4b23bc9df40a4d7c517188d1b3,3,W1_GL_30,0,7,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Microvirga,unknown Microvirga,C_N,7.34393283518453e-05,524.602001933302,1176.50424126291,0.0224011618100629,-0.137781580325059,0.0338931537999711,-0.149273572314968
GL,0491a18a190fbacd89bae3760ef715f6,1,W1_GL_19,0,7,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter,unknown Solirubrobacter,control,4.66866833590593e-05,568.159824456851,1015.0866066062,0.00181661206731634,-0.0847203912550975,0.0160624595071809,-0.098966238694962
GL,0491a18a190fbacd89bae3760ef715f6,1,W1_GL_22,0,7,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter,unknown Solirubrobacter,C,3.94588651329928e-05,301.998559402547,1015.0866066062,0.0175697383715824,-0.190756447995603,0.0176012213996215,-0.190787931023642
GL,0491a18a190fbacd89bae3760ef715f6,1,W1_GL_28,0,7,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter,unknown Solirubrobacter,C_N,3.62216976501073e-05,526.692384608221,1015.0866066062,-0.0189345032922855,-0.0747958605428732,-0.000512364654052117,-0.0932179991811066
GL,0491a18a190fbacd89bae3760ef715f6,2,W1_GL_20,0,7,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter,unknown Solirubrobacter,control,4.24465535761016e-05,458.576798433845,1081.55549252769,0.0165713519024723,-0.13914674873125,0.0170421850967985,-0.139617581925576
GL,0491a18a190fbacd89bae3760ef715f6,2,W1_GL_23,0,7,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter,unknown Solirubrobacter,C,0.000202705165414672,131.548547313979,1081.55549252769,0.0228442469590749,-0.323812759844765,0.035505469260987,-0.336473982146678
GL,0491a18a190fbacd89bae3760ef715f6,2,W1_GL_29,0,7,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter,unknown Solirubrobacter,C_N,4.57761622437088e-05,218.239588791007,1081.55549252769,-0.000774182296333689,-0.227877541179964,0.0157524572654466,-0.244404180741744
GL,0491a18a190fbacd89bae3760ef715f6,3,W1_GL_21,0,7,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter,unknown Solirubrobacter,control,4.98737523763413e-05,1759.6893007899,1945.75701439636,-0.00277686190139384,-0.0115822598143429,-0.00236670793029835,-0.0119924137854384
GL,0491a18a190fbacd89bae3760ef715f6,3,W1_GL_24,0,7,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter,unknown Solirubrobacter,C,6.28325583259015e-05,630.967155952757,1945.75701439636,-0.00051557395481046,-0.160363366104883,0.0163650082465333,-0.177243948306227
GL,0491a18a190fbacd89bae3760ef715f6,3,W1_GL_30,0,7,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter,unknown Solirubrobacter,C_N,6.02496983964018e-05,1095.49256885188,1945.75701439636,0.00334764276177209,-0.0854115020679245,0.013326526962152,-0.0953903862683043
GL,04aa33f6961c1dcb023226cd52c59dd9,1,W1_GL_19,0,7,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,unknown Gemmatimonas,control,4.27814173555607e-05,323.955775696125,561.537271739601,0.0108392842282065,-0.089420875534176,0.0260761470327046,-0.104657738338674
GL,04aa33f6961c1dcb023226cd52c59dd9,1,W1_GL_22,0,7,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,unknown Gemmatimonas,C,2.27741432833597e-05,58.7472203063673,561.537271739601,0.0244527627901625,-0.346943378916171,0.024485822651603,-0.346976438777611
GL,04aa33f6961c1dcb023226cd52c59dd9,2,W1_GL_20,0,7,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,unknown Gemmatimonas,control,5.51172512086709e-05,46.8711694769376,270.388873131922,0.0309457951008312,-0.281296999463106,0.0314669177870682,-0.281818122149343
GL,04b23b7c83a9b416c88366e57036d174,1,W1_GL_19,0,7,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,Segetibacter,unknown Segetibacter,control,4.10171465113535e-05,699.023043442401,971.891431857006,8.50910140515985e-05,-0.0471651473873486,0.0142779018247114,-0.0613579581980083
GL,04b23b7c83a9b416c88366e57036d174,1,W1_GL_22,0,7,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,Segetibacter,unknown Segetibacter,C,2.60050660826169e-05,934.983842491641,971.891431857006,0.0030371502436493,-0.00856784370363284,0.00306583265199115,-0.00859652611197467
GL,04b23b7c83a9b416c88366e57036d174,1,W1_GL_28,0,7,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,Segetibacter,unknown Segetibacter,C_N,1.81970665433629e-05,424.172397991805,971.891431857006,-0.0132712825984832,-0.105172164683147,0.00612545391741191,-0.124568901199042
GL,04b23b7c83a9b416c88366e57036d174,2,W1_GL_20,0,7,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,Segetibacter,unknown Segetibacter,control,3.58451908684634e-05,714.897896047694,1749.57506144185,0.00763503968204341,-0.13549053762948,0.00808109202346406,-0.135936589970901
GL,04b23b7c83a9b416c88366e57036d174,2,W1_GL_23,0,7,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,Segetibacter,unknown Segetibacter,C,3.69233029208432e-05,316.345350604101,1749.57506144185,-0.0123535569700258,-0.231974116874722,-0.00246727571457008,-0.241860398130178
GL,04b23b7c83a9b416c88366e57036d174,2,W1_GL_29,0,7,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,Segetibacter,unknown Segetibacter,C_N,4.44450196073891e-05,279.434548840932,1749.57506144185,0.00271285253458546,-0.264764298610315,0.0198282111803023,-0.281879657256032
GL,04b23b7c83a9b416c88366e57036d174,3,W1_GL_21,0,7,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,Segetibacter,unknown Segetibacter,control,7.42230055650547e-05,1343.6436845535,3461.6374791005,0.012862495488982,-0.148056302014861,0.0133241244698384,-0.148517930995717
GL,04b23b7c83a9b416c88366e57036d174,3,W1_GL_24,0,7,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,Segetibacter,unknown Segetibacter,C,6.81411926261776e-05,1041.42581041645,3461.6374791005,-0.00647264555248708,-0.165120353188802,0.00982528176609626,-0.181418280507386
GL,04b23b7c83a9b416c88366e57036d174,3,W1_GL_30,0,7,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,Segetibacter,unknown Segetibacter,C_N,4.29010353079389e-05,1563.64074113536,3461.6374791005,-0.00323998260264064,-0.110292135453462,0.00635859901376493,-0.119890717069867
GL,050293da73661e6bf178eab1c1c5b9bf,1,W1_GL_19,0,7,Chloroflexi,Anaerolineae,SBR1031,unknown SBR1031,unknown SBR1031,unknown SBR1031,control,2.7328457796008e-05,34.5968858263413,215.975873746001,0.018973712958183,-0.280602717648388,0.035248371744988,-0.296877376435193
GL,050293da73661e6bf178eab1c1c5b9bf,1,W1_GL_22,0,7,Chloroflexi,Anaerolineae,SBR1031,unknown SBR1031,unknown SBR1031,unknown SBR1031,C,8.97658016514781e-06,53.3458635454559,215.975873746001,0.00950210002815631,-0.209269280796269,0.00953203535669814,-0.209299216124811
GL,06873db364fa9c754eb609debdeaffe9,1,W1_GL_19,0,7,Actinobacteria,Actinobacteria,Frankiales,unknown Frankiales,unknown Frankiales,unknown Frankiales,control,0.000116475183698393,430.937393268174,1209.4648929776,0.0129350986214182,-0.160359453371769,0.0283886391008105,-0.175812993851161
GL,06873db364fa9c754eb609debdeaffe9,1,W1_GL_22,0,7,Actinobacteria,Actinobacteria,Frankiales,unknown Frankiales,unknown Frankiales,unknown Frankiales,C,6.91459282560657e-05,152.933732617105,1209.4648929776,0.0461063937781388,-0.341524764656326,0.0461448153489974,-0.341563186227185
GL,06873db364fa9c754eb609debdeaffe9,1,W1_GL_28,0,7,Actinobacteria,Actinobacteria,Frankiales,unknown Frankiales,unknown Frankiales,unknown Frankiales,C_N,3.4402294633706e-05,130.294721419492,1209.4648929776,0.0281104036564201,-0.346415308118541,0.0543971705336604,-0.372702074995782
